equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled to prevent capture by Russia,sunk,sunk but raised by Russia
Mine-Resistant Ambush Protected,Wolfhound Protected Patrol,,the United Kingdom,2,,,,,,,,,,2.0,,,
Mine-Resistant Ambush Protected,Bushmaster Protected Mobility Vehicle,,Australia %28converted%29,6,,,,,,2.0,,,,4.0,,,
Mine-Resistant Ambush Protected,International M1224 MaxxPro,,the United States,11,,1.0,,,,3.0,,,,7.0,,,
Mine-Resistant Ambush Protected,BMC Kirpi,,Turkey,9,,,,1.0,,1.0,1.0,1.0,,5.0,,,
Infantry Mobility Vehicles,KrAZ Cobra,,Ukraine,11,,,,6.0,,,,,,5.0,,,
Infantry Mobility Vehicles,KrAZ Cougar,,Ukraine,6,,,,4.0,,,,,,2.0,,,
Infantry Mobility Vehicles,KrAZ Spartan,,Ukraine,10,,,,,,,,,,10.0,,,
Infantry Mobility Vehicles,Novator,,Ukraine,14,,,,3.0,,2.0,,,,9.0,,,
Infantry Mobility Vehicles,Varta,,Ukraine,35,,,,25.0,,1.0,,,,9.0,,,
Infantry Mobility Vehicles,Kozak-2,,Ukraine,60,,,,22.0,,,1.0,1.0,,36.0,,,
Infantry Mobility Vehicles,Kozak-2M1,,Ukraine,17,,1.0,,6.0,,,,,,10.0,,,
Infantry Mobility Vehicles,Kozak-5,,Ukraine,4,,,,2.0,,,,,,2.0,,,
Infantry Mobility Vehicles,Triton-1,,Ukraine,3,,,,3.0,,,,,,,,,
Infantry Mobility Vehicles,M1114 and M1151 HMMWV,,the United States,43,,,,6.0,,3.0,,4.0,,30.0,,,
Infantry Mobility Vehicles,M1152 HMMWV,,the United States,3,,,,,,,,,,3.0,,,
Infantry Mobility Vehicles,M998 HMMWV,,the United States,17,,,,15.0,,,,1.0,,1.0,,,
Infantry Mobility Vehicles,HMMWV Ambulance,,the United States,9,,,,3.0,,1.0,,3.0,,2.0,,,
Infantry Mobility Vehicles,AT105A Saxon,,the United Kingdom,16,,,,12.0,,,,,,4.0,,,
Infantry Mobility Vehicles,Husky Tactical Support Vehicle,,the United Kingdom,15,,,,,,4.0,,1.0,,10.0,,,
Infantry Mobility Vehicles,Iveco LMV,,Italy,9,,,,,,1.0,,,,8.0,,,
Infantry Mobility Vehicles,MLS Shield,,Italy,3,,,,,,2.0,,,,1.0,,,
Infantry Mobility Vehicles,INKAS Titan-S,,the United Arab Emirates,1,0.0,,,,,,,,,1.0,,,
Infantry Mobility Vehicles,Roshel Senator,,Canada %28Pantone%29,1,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,,
Command Posts And Communications Stations,R-145BM command vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,BTR-60PU-12 air defence command vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-409A radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-405M radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,9S470M1 command vehicle for Buk-M1,,the Soviet Union,1,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,K1Sh1 command and staff vehicle,,Ukraine,1,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,Radio relay station for the TB2 UCAV,,Turkey,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,IMR-2 combat engineering vehicle,,the Soviet Union,4,,,,1.0,,,,,,3.0,,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,T-64 mine clearing roller tank,,Ukraine,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,2,,,,1.0,,,,1.0,,,,,
Engineering Vehicles And Equipment,IRM 'Zhuk' Engineer Reconnaissance Vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,RKhM 'Kashalot',,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,BTS-4 armoured recovery vehicle,,the Soviet Union,4,,,,2.0,,,,,,2.0,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,MTO-AT mobile workshop,,the Soviet Union,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,3,,,,1.0,,,,,,2.0,,,
Engineering Vehicles And Equipment,TMM-3M1 bridge layer,,Ukraine,3,,,,2.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,Pontoon bridge,,Ukraine,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,KrAZ-255B pontoon bridge layer,,the Soviet Union,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,KrAZ-260 pontoon bridge layer,,the Soviet Union,3,,,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,3,,,,2.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,PZM-2 trench-digging vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,UMP-350 engine heater,,the Soviet Union,1,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,ARS-14 decontamination and degassing vehicle,,the Soviet Union,3,,,,3.0,,,,,,,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L recovery vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs ATGM carrier,,the Soviet Union,19,,1.0,,10.0,,,,,,8.0,,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S ATGM carrier,,the Soviet Union,2,,,,1.0,,,,1.0,,,,,
Artillery Support Vehicles And Equipment,1V13 battery command and forward observer vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,,
Artillery Support Vehicles And Equipment,1V14 battery command and forward observer vehicle,,the Soviet Union,6,,,,1.0,,,,,,5.0,,,
Artillery Support Vehicles And Equipment,1V15 battery command and forward observer vehicle,,the Soviet Union,4,,,,4.0,,,,,,,,,
Artillery Support Vehicles And Equipment,1V16M artillery battalion command and staff vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,
Artillery Support Vehicles And Equipment,1V18 'Klyon-1' artillery command and forward observer vehicle,,the Soviet Union,7,,,,7.0,,,,,,,,,
Artillery Support Vehicles And Equipment,9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,2,,,,,,,,,,2.0,,,
Towed Artillery,100mm BS-3 anti-tank gun,,the Soviet Union,3,,,,2.0,,,,,,1.0,,,
Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,16,,1.0,,11.0,,1.0,,,,3.0,,,
Towed Artillery,105mm L119 howitzer,,the United Kingdom,1,,,,,,1.0,,,,,,,
Towed Artillery,122mm D-30 howitzer,,the Soviet Union,3,,,,2.0,,,,,,1.0,,,
Towed Artillery,152mm D-20 gun-howitzer,,the Soviet Union,7,,,,1.0,,1.0,,,,5.0,,,
Towed Artillery,152mm 2A36 Giatsint-B field-gun,,the Soviet Union,11,,,9.0,1.0,,1.0,,,,,,,
Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,4,,2.0,,1.0,,1.0,,,,,,,
Towed Artillery,155mm FH-70,,Estonia,2,,,,,,1.0,,,,1.0,,,
Towed Artillery,155mm M777A2 howitzer,,the United States,39,,,,,,7.0,,,,32.0,,,
Towed Artillery,Unknown towed artillery,,Ukraine,14,,,,,,4.0,,,,10.0,,,
Self-Propelled Artillery,120mm Bars-8MMK,,Ukraine,2,,,,,,,,,,2.0,,,
Self-Propelled Artillery,120mm BTR-3M2,,Ukraine,3,,,,2.0,,,,,,1.0,,,
Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,2,,,,,,,,,,2.0,,,
Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,41,,,,12.0,,2.0,,,,27.0,,,
Self-Propelled Artillery,152mm 2S3 Akatsiya,,the Soviet Union,23,,,,8.0,,2.0,,,,13.0,,,
Self-Propelled Artillery,152mm 2S5 Giatsint-S,,the Soviet Union,4,,,,3.0,,,,,,1.0,,,
Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,4,,,,,,3.0,,,,1.0,,,
Self-Propelled Artillery,155mm M109A3/A4/A5,,Norway,8,,,,,,3.0,,,,5.0,,,
Self-Propelled Artillery,155mm AHS Krab,,Poland,9,,,,,,2.0,,,,7.0,,,
Self-Propelled Artillery,203mm 2S7 Pion,,the Soviet Union,8,,,,1.0,,4.0,,1.0,,2.0,,,
Self-Propelled Artillery,155mm ShKH Zuzana 2,,Slovakia,1,,,,,,,,,,1.0,,,
Self-Propelled Artillery,155mm Caesar,,France,1,,,,,,,,,,1.0,,,
Self-Propelled Artillery,155mm Panzerhaubitze 2000,,Germany,1,,,,,,1.0,,,,,,,
Self-Propelled Artillery,Unknown SPG,,Ukraine,3,,,,,,,,,,3.0,,,
Multiple Rocket Launchers,80mm B-8 makeshift MRL,,Ukraine,1,,,,,,,,,,1.0,,,
Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,27,,,,4.0,,2.0,,,,21.0,,,
Multiple Rocket Launchers,122mm Bastion-1,,Ukraine,1,,,,,,,,,,1.0,,,
Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,5,,,,4.0,,,,,,1.0,,,
Multiple Rocket Launchers,220mm Bureviy,,Ukraine,1,,,,,,,,,,1.0,,,
Multiple Rocket Launchers,122mm RM-70,,the Czech Republic,1,,,,,,1.0,,,,,,,
Anti-Aircraft Guns,23mm ZU-23,,the Soviet Union,3,,,,3.0,,,,,,,,,
Anti-Aircraft Guns,23mm 23 ItK 61,,Finland,1,,,,1.0,,,,,,,,,
Self-Propelled Anti-Aircraft Guns,ZSU-23-4 Shilka,,the Soviet Union,3,,,,2.0,,1.0,,,,,,,
Self-Propelled Anti-Aircraft Guns,2K22M Tunguska-M,,the Soviet Union,1,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,17,,,,4.0,,1.0,,,,12.0,,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,10,,1.0,,,,,,,,9.0,,,
Surface-To-Air Missile Systems,9A310M1 TELAR (for Buk-M1),,the Soviet Union,8,,,,1.0,,1.0,,,,6.0,,,
Surface-To-Air Missile Systems,9A39M1 TEL (for Buk-M1),,the Soviet Union,3,,,,,,,,,,3.0,,,
Surface-To-Air Missile Systems,5P851A  (launcher for S-300PT),,the Soviet Union,20,,,,,,,,,,20.0,,,
Surface-To-Air Missile Systems,5P85D (launcher for S-300PS),,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Surface-To-Air Missile Systems,5P85S (launcher for S-300PS),,the Soviet Union,10,,,,1.0,,1.0,,,,8.0,,,
Surface-To-Air Missile Systems,5P85D/S (launcher for S-300PS),,the Soviet Union,14,,,,,,,,,,14.0,,,
Surface-To-Air Missile Systems,Launcher for S-300,,the Soviet Union,3,,,,,,,,,,3.0,,,
Radars And Communications Equipment,P-14 'Tall King',,the Soviet Union,1,,,,,,1.0,,,,,,,
Radars And Communications Equipment,P-18 'Spoon Rest D',,the Soviet Union,4,,,,1.0,,,,,,3.0,,,
Radars And Communications Equipment,P-18 'Malakhit',,Ukraine,3,,,,1.0,,,,,,2.0,,,
Radars And Communications Equipment,P-19 'Flat Face B',,the Soviet Union,2,,,,,,,,,,2.0,,,
Radars And Communications Equipment,P-35/37 'Bar Lock',,the Soviet Union,1,,,,,,,,,,1.0,,,
Radars And Communications Equipment,PRV-11 'Side Net',,the Soviet Union,1,,,,1.0,,,,,,,,,
Radars And Communications Equipment,PRV-13 'Odd Pair',,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Radars And Communications Equipment,1L22 'Parol',,the Soviet Union,4,,,,1.0,,1.0,,,,2.0,,,
Radars And Communications Equipment,36D6 'Tin Shield',,the Soviet Union,10,,,,1.0,,1.0,,,,8.0,,,
Radars And Communications Equipment,5N63S 'Flap Lid B' (for S-300PS),,the Soviet Union,8,,,,,,,,,,8.0,,,
Radars And Communications Equipment,5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT),,the Soviet Union,1,,,,1.0,,,,,,,,,
Radars And Communications Equipment,5N66M 'Clam Shell' on 40V6M mast (for S-300PT),,the Soviet Union,2,,1.0,,1.0,,,,,,,,,
Radars And Communications Equipment,"R-410-7,5 tropospheric radio relay communication station",,the Soviet Union,1,,,,,,,,,,1.0,,,
Radars And Communications Equipment,SNAR-10 battlefield surveillance radar,,the Soviet Union,3,,,,2.0,,,,,,1.0,,,
Radars And Communications Equipment,PRV-16 'Thin Skin B',,the Soviet Union,1,,,,,,,,,,1.0,,,
Radars And Communications Equipment,1B44-1 (RPMK-1) radiosonde weather radar,,the Soviet Union,1,,,,,,,,,,1.0,,,
Radars And Communications Equipment,PRV-16ML height-finder radar,,Lithuania,1,,,,,,,,,,1.0,,,
Radars And Communications Equipment,P-18ML long-range VHF surveillance radar,,Lithuania,1,,,,,,1.0,,,,,,,
Radars And Communications Equipment,AN/TPQ-36 lightweight counter mortar radar,,the United States,1,,,,,,1.0,,,,,,,
Radars And Communications Equipment,AN/TPQ-49 lightweight counter mortar radar,,the United States,1,,,,1.0,,,,,,,,,
Jammers And Deception Systems,NOTA,,Ukraine,1,,,,1.0,,,,,,,,,
Aircraft,MiG-29 fighter aircraft,,the Soviet Union,16,,,,,,,,,,16.0,,,
Aircraft,Su-27 fighter aircraft,,the Soviet Union,7,,,,,,,,,,7.0,,,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,16,,,,,,,,,1.0,15.0,,,
Aircraft,Su-24M strike aircraft,,the Soviet Union,13,,,,,,,,,,13.0,,,
Aircraft,Unknown fighter/strike aircraft,,Ukraine,1,,,,,,,,,,1.0,,,
Aircraft,Il-76 transport aircraft,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Aircraft,An-26 transport aircraft,,the Soviet Union,2,,,,,,,,,,2.0,,,
Helicopters,Mi-2 training helicopter,,the Soviet Union,4,,,,3.0,,,,,,1.0,,,
Helicopters,Mi-8 transport helicopter,,the Soviet Union,21,,,,,,1.0,,,,20.0,,,
Helicopters,Mi-14 maritime helicopter,,the Soviet Union,1,,,,,,,,,,1.0,,,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,2,,,,,,,,,,2.0,,,
Helicopters,Mi-24 attack helicopter,,the Soviet Union,1,,,,,,,,,,1.0,,,
Unmanned Combat Aerial Vehicles,Bayraktar TB2 UCAV,,Turkey,15,,,,,,,,,,15.0,,,
Unmanned Aerial Vehicles,A1-SM Fury,,Ukraine,18,,,,10.0,,,,,,8.0,,,
Unmanned Aerial Vehicles,ASU-1 Valkyrja,,Ukraine,4,,,,2.0,,,,,,2.0,,,
Unmanned Aerial Vehicles,UJ-22,,Ukraine,1,,,,,,,,,,1.0,,,
Unmanned Aerial Vehicles,Leleka-100,,Ukraine,10,,,,5.0,,,,1.0,,4.0,,,
Unmanned Aerial Vehicles,Spaitech Sparrow,,Ukraine,2,,,,2.0,,,,,,,,,
Unmanned Aerial Vehicles,Spectator-M1,,Ukraine,3,,,,1.0,,,,,,2.0,,,
Unmanned Aerial Vehicles,PD-1,,Ukraine,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,ITEC Skif,,Ukraine,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,Orlik UAV,,Ukraine,1,,,,,,,,,,1.0,,,
Unmanned Aerial Vehicles,Shark UAV,,Ukraine,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,FlyEye,,Poland,3,,,,1.0,,,,,,2.0,,,
Unmanned Aerial Vehicles,Penguin C,,Latvia,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,Bayraktar Mini,,Turkey,2,,,,1.0,,,,,,1.0,,,
Unmanned Aerial Vehicles,AeroVironment RQ-20 Puma,,the United States,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,Malloy Aeronautics T150 cargo UAV,,the United Kingdom,1,,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Ukraine,8,,,,,,,,,,8.0,,,
Naval Ships,Krivak III-class frigate 'Hetman Sahaydachniy',,the Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships,Gyurza-M-class gunboat,,Ukraine,1,,,,,,1.0,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Akkerman 'P174',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Kremenchuk 'P177',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Lubny 'P178',Ukraine,1,,,,,,,,,,,,,1.0
Naval Ships,Gyurza-M-class gunboat,Vyshhorod 'P179',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Island-class patrol boat P190 Slovyansk,,the United States,1,,,,,,,,,,,,1.0,
Naval Ships,Stenka-class patrol boat (Operated by the Sea Guard),BG-32 'Donbass',the Soviet Union,1,,,,,,,,,,,,1.0,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 108',the Soviet Union,1,,,,,,,,,,1.0,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 118',the Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),unknown ID,the Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Sorum-class seagoing tugboat 'Korets' ''A830 or P186'',,the Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Project 1258 Yevgenya-class minesweeper 'Henichesk',,the Soviet Union,1,,,,,,,,,,,,1.0,
Naval Ships,Pr.304 Amur-class command ship 'Donbas' ''U-500'',,Poland,1,,,,,,,,,,1.0,,,
Naval Ships,Project 58181 Centaur-class fast assault boat,DSHK-1 Stanislav,Ukraine,1,,,,,,,,,,,,1.0,
Naval Ships,UMS 600 patrol boat,BG 721,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat,BG 14,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat,BG 23,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat,BG 309,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat,BG 4,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat,unknown ID,Ukraine,1,,,,,,,,1.0,,,,,
Naval Ships,Project 50030 Kalkan class patrol boat,BG 310,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan class patrol boat,BG 311,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan class patrol boat,BG ??8,Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Unkown patrol boat,unknown ID,Ukraine,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",KrAZ-255B,,the Soviet Union,7,,,,2.0,,,,,,5.0,,,
"Trucks, Vehicles and Jeeps",KrAZ-260,,the Soviet Union,4,,,,3.0,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",KrAZ-6322,,Ukraine,34,,,,14.0,,,,1.0,,19.0,,,
"Trucks, Vehicles and Jeeps",Armoured KrAZ-6322,,Ukraine,3,,,,3.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",KrAZ-5233,,Ukraine,23,,,,12.0,,,,,,11.0,,,
"Trucks, Vehicles and Jeeps",Bogdan-63172,,Ukraine,19,,2.0,,1.0,,1.0,,,,15.0,,,
"Trucks, Vehicles and Jeeps",Bogdan-63172 'Kozak',,Ukraine,5,,,,1.0,,,,,,4.0,,,
"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,4,,,,,,,,,,4.0,,,
"Trucks, Vehicles and Jeeps",GAZ-63,,the Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles and Jeeps",GAZ-66,,the Soviet Union,68,0.0,1.0,,28.0,,2.0,1.0,2.0,,34.0,,,
"Trucks, Vehicles and Jeeps",GAZ-66,with 23mm ZU-23,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",GAZ-66,with 82mm 2B9 Vasilek mortar,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",GAZ-66,with ZU-23 AA gun,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",GAZ-3308,,the Soviet Union,1,,,,,,,,,,1.0,,,
